Bank,Year,STATE_SHARE,LOANS,ASSETS,DEPOSITS_ASSETS,PROFIT_BT_ASSETS,COST_TO_INCOME,EQUITY_ASSETS,LLOSS_RES_ON_GLOANS
201,2005,63.76,62 096 356.32,87 314 430.88,0.83,3.49,51.61,0.09,4.95
201,2006,63.80,96 525 286.64,131 656 974.68,0.83,3.14,54.84,0.09,3.82
201,2007,60.30,159 761 834.08,200 797 187.11,0.80,2.84,55.43,0.13,2.76
201,2008,61.58,172 832 301.67,229 284 904.45,0.76,1.93,50.00,0.13,3.83
201,2009,60.75,160 825 246.60,234 923 254.31,0.79,0.42,34.30,0.13,10.65
201,2010,60.30,180 116 310.60,283 116 939.86,0.81,2.67,41.94,0.11,11.35
201,2011,60.30,239 771 271.82,336 534 511.38,0.80,3.65,48.10,0.12,7.90
202,2005,99.90,20 338 748.37,37 488 058.57,0.62,1.93,49.10,0.14,2.97
202,2006,99.90,32 649 604.14,58 474 578.91,0.61,2.68,47.71,0.13,3.22
202,2007,77.50,70 080 092.64,110 839 965.15,0.56,1.96,46.39,0.18,2.45
202,2008,77.47,86 983 161.51,125 845 805.83,0.40,0.49,48.53,0.11,3.57
202,2009,85.50,76 374 973.17,119 388 178.33,0.51,-1.89,43.62,0.14,9.23
202,2010,85.49,91 393 806.18,140 791 872.96,0.61,1.66,43.47,0.13,8.96
202,2011,75.50,133 606 241.54,210 882 680.30,0.63,1.70,54.23,0.09,6.29
203,2005,25.50,6 290 524.02,15 345 366.76,0.52,4.01,50.57,0.16,5.38
203,2006,20.49,10 762 406.33,29 422 469.72,0.46,6.55,68.89,0.21,3.90
203,2007,20.48,16 345 055.16,38 642 355.37,0.52,5.55,37.54,0.21,3.26
203,2009,25.33,24 774 733.28,57 569 450.42,0.61,3.14,24.37,0.11,6.87
203,2010,20.49,33 906 662.42,64 036 070.73,0.68,2.12,52.25,0.11,4.67
203,2011,20.49,43 373 389.07,76 955 530.33,0.70,2.18,42.14,0.10,3.98
